"filename", "language", "PHP", "comment", "blank", "total"
"/home/cira/Desktop/server/database/tables/Comments.php", "PHP", 7, 2, 3, 12
"/home/cira/Desktop/server/database/tables/Posts.php", "PHP", 9, 2, 3, 14
"/home/cira/Desktop/server/database/tables/Users.php", "PHP", 8, 2, 3, 13
"Total", "-", 24, 6, 9, 39
